Business Title,Tour URL,Opinion Count,Total Opinions,Rating,5_estrellas,4_estrellas,3_estrellas,2_estrellas,1_estrella
Paprika Tours,https://es.trustpilot.com/review/paprikatours.com,Opiniones,637,"4,9",592,38,6,0,6
Inca Soul - Peru Tour Experiences,https://es.trustpilot.com/review/incasoulexperiences.com,Opiniones,55,"4,6",51,0,0,0,4
Kamu,https://es.trustpilot.com/review/kamu.uno,Opiniones,23,"4,6",22,1,0,0,0
Sam Travel Peru,https://es.trustpilot.com/review/samtravelperu.com,Opiniones,80,"4,9",80,0,0,0,0
Free Walking Tour Cusco Org,https://es.trustpilot.com/review/freewalkingtourcusco.org,Opiniones,21,"4,6",19,2,0,0,0
Salkantay Trekking,https://es.trustpilot.com/review/salkantaytrekking.com,Opiniones,79,"4,9",76,2,0,0,1
Mountain Lodges of Peru,https://es.trustpilot.com/review/mountainlodgesofperu.com,Opiniones,261,"4,8",240,10,8,3,3
Travelbuddiesperu,https://es.trustpilot.com/review/travelbuddiesperu.com,Opiniones,42,"4,7",41,0,0,0,1
Impactful Travel,https://es.trustpilot.com/review/impactful.travel,Opiniones,28,"4,7",28,0,0,0,0
Peru InsideOut,https://es.trustpilot.com/review/www.peruinsideout.com,Opiniones,75,"4,8",73,2,0,0,0
ACTION PERU TREKS,https://es.trustpilot.com/review/actionperutreks.com,Opiniones,25,"4,7",25,0,0,0,0
The Luxury Peru Travel Company,https://es.trustpilot.com/review/luxuryperu.travel,Opiniones,59,"4,6",52,5,1,0,1
Peru Hop,https://es.trustpilot.com/review/peruhop.com,Opiniones,219,"4,8",188,26,2,0,2
Pumadventures,https://es.trustpilot.com/review/pumadventures.com,Opiniones,26,"4,7",26,0,0,0,0
Peru Summit Adventures,https://es.trustpilot.com/review/perusummit.com,Opiniones,30,"4,7",30,0,0,0,0
Vamos Expeditions,https://es.trustpilot.com/review/www.vamosexpeditions.com,Opiniones,97,"4,9",96,1,0,0,0
Alta Sanctuary,https://es.trustpilot.com/review/altasanctuary.com,Opiniones,17,"4,6",17,0,0,0,0
Machu Picchu Inc,https://es.trustpilot.com/review/machupicchu-inc.com,Opiniones,15,"4,5",15,0,0,0,0
Terra Quechua Peru Travel Agency,https://es.trustpilot.com/review/terraquechuaperu.com,Opiniones,10,"4,4",10,0,0,0,0
Karikuy Tours,https://es.trustpilot.com/review/karikuy.com,Opiniones,82,"4,5",56,11,5,1,9
Peru Treks & Inca Trail,https://es.trustpilot.com/review/perutreks.net,Opiniones,16,"4,4",14,2,0,0,0
Explorandes,https://es.trustpilot.com/review/www.explorandes.com,Opiniones,12,"4,3",11,1,0,0,0
Machu Picchu Peru Tours,https://es.trustpilot.com/review/www.machupicchuperutours.com,Opiniones,17,"4,6",17,0,0,0,0
Miski Travels,https://es.trustpilot.com/review/www.miskitravels.com,Opiniones,19,"4,6",19,0,0,0,0
View Peru & Signatures,https://es.trustpilot.com/review/www.view-peru.com,Opiniones,8,"4,3",8,0,0,0,0
Terres du Pérou,https://es.trustpilot.com/review/terres-du-perou.com,Opiniones,16,"4,5",16,0,0,0,0
Peru unknown S.R.L.,https://es.trustpilot.com/review/peruunknown.com,Opiniones,13,"4,5",13,0,0,0,0
The Lazy Dog Inn,https://es.trustpilot.com/review/thelazydoginn.com,Opiniones,15,"4,5",15,0,0,0,0
Amazing Peru,https://es.trustpilot.com/review/amazingperu.com,Opiniones,11,"4,4",10,1,0,0,0
Great Nazca Tours,https://es.trustpilot.com/review/www.greatnazcatours.com,Opiniones,8,"4,3",8,0,0,0,0
Cuscoexpeditions,https://es.trustpilot.com/review/www.cuscoexpeditions.com,Opiniones,7,"4,3",7,0,0,0,0
Vidalexpeditions,https://es.trustpilot.com/review/vidalexpeditions.com,Opiniones,8,"4,3",8,0,0,0,0
sejoursrubio.com,https://es.trustpilot.com/review/sejoursrubio.com,Opiniones,11,"4,3",9,2,0,0,0
Life Expeditions,https://es.trustpilot.com/review/lifexpeditions.com,Opiniones,8,"4,3",8,0,0,0,0
Cusco Transport and Tours,https://es.trustpilot.com/review/cuscotransport.com,Opiniones,7,"4,3",7,0,0,0,0
Hakumachupicchu,https://es.trustpilot.com/review/hakumachupicchu.com,Opiniones,6,"4,2",6,0,0,0,0
Cusco Local Friend,https://es.trustpilot.com/review/cuscolocalfriend.com,Opiniones,6,"4,2",6,0,0,0,0
Inti Adventure Travel,https://es.trustpilot.com/review/intiadventuretravel.com,Opiniones,6,"4,2",6,0,0,0,0
Sam Travel Experiences,https://es.trustpilot.com/review/samtravelexperiences.com,Opiniones,7,"4,3",7,0,0,0,0
Ecoice peru,https://es.trustpilot.com/review/ecoice-peru.com,Opiniones,6,"4,2",6,0,0,0,0
CUSCO DESTINATION,https://es.trustpilot.com/review/cuscodestination.com,Opiniones,5,"4,1",5,0,0,0,0
Peru & U,https://es.trustpilot.com/review/peru-n-u.com,Opiniones,5,"4,0",4,0,0,0,1
Faceperu,https://es.trustpilot.com/review/faceperu.com,Opiniones,5,"4,1",5,0,0,0,0
B Side,https://es.trustpilot.com/review/b-side.pe,Opiniones,5,"4,1",5,0,0,0,0
Pacha Expeditions,https://es.trustpilot.com/review/pachaexpeditions.com,Opiniones,4,"4,0",4,0,0,0,0
Hostingplus,https://es.trustpilot.com/review/www.hostingplus.pe,Opiniones,4,"4,0",4,0,0,0,0
Inkayni Peru Tours,https://es.trustpilot.com/review/www.inkayniperutours.com,Opiniones,3,"4,0",3,0,0,0,0
Cusco Andean Hike,https://es.trustpilot.com/review/cuscoandeanhike.com,Opiniones,4,"4,0",4,0,0,0,0
Terra Explorer Peru,https://es.trustpilot.com/review/terraexplorerperu.com,Opiniones,4,"4,0",4,0,0,0,0
Peru Full Adventure,https://es.trustpilot.com/review/perufulladventure.com,Opiniones,3,"4,0",3,0,0,0,0
Huaynas Expeditions Peru,https://es.trustpilot.com/review/www.huaynasexpeditions.com,Opiniones,3,"4,0",3,0,0,0,0
Free Walking Tours Peru,https://es.trustpilot.com/review/freewalkingtoursperu.com,Opiniones,3,"4,0",3,0,0,0,0
Turismo iPeru,https://es.trustpilot.com/review/iperutours.com,Opiniones,3,"4,0",3,0,0,0,0
Latin Discoveries,https://es.trustpilot.com/review/www.latindiscoveries.com,Opiniones,14,"4,0",13,0,0,1,0
EXPLORE ADVENTURES PERU,https://es.trustpilot.com/review/www.incatrailexplore.com,Opiniones,3,"4,0",3,0,0,0,0
Quechuas Expeditions,https://es.trustpilot.com/review/quechuasexpeditions.com,Opiniones,3,"4,0",3,0,0,0,0
AUSANGATE PERU,https://es.trustpilot.com/review/ausangateperu.com,Opiniones,3,"4,0",3,0,0,0,0
Peru Qorianka Travel,https://es.trustpilot.com/review/peruqorianka.com,Opiniones,3,"4,0",3,0,0,0,0
Global Travel,https://es.trustpilot.com/review/globaltravel.com.pe,Opiniones,3,"4,0",3,0,0,0,0
Pariwana Hostels,https://es.trustpilot.com/review/pariwana.com,Opiniones,3,"4,0",3,0,0,0,0
Tctrips,https://es.trustpilot.com/review/tctrips.com,Opiniones,2,"3,8",2,0,0,0,0
Machu Picchu Travel - Tours to Perú,https://es.trustpilot.com/review/machupicchu.com.pe,Opiniones,3,"4,0",3,0,0,0,0
Machu Travel Peru,https://es.trustpilot.com/review/machutravelperu.com,Opiniones,3,"4,0",3,0,0,0,0
Trip Peru,https://es.trustpilot.com/review/www.trip-peru.com,Opiniones,9,"3,8",7,0,0,1,1
GMC Tours & Travel,https://es.trustpilot.com/review/www.gmctravel.com,Opiniones,3,"4,0",3,0,0,0,0
Alpaca Expeditions,https://es.trustpilot.com/review/www.alpacaexpeditions.com,Opiniones,2,"3,8",2,0,0,0,0
Adventureperupath,https://es.trustpilot.com/review/adventureperupath.com,Opiniones,2,"3,8",2,0,0,0,0
DonPeruTours,https://es.trustpilot.com/review/www.donperutours.com,Opiniones,2,"3,8",2,0,0,0,0
Qosqo Expeditions,https://es.trustpilot.com/review/qosqoexpeditions.com,Opiniones,2,"3,8",2,0,0,0,0
Akilpo,https://es.trustpilot.com/review/akilpohuaraz.com,Opiniones,2,"3,8",2,0,0,0,0
TRAVEL 1 TOURS,https://es.trustpilot.com/review/www.travel1tours.com,Opiniones,2,"3,8",2,0,0,0,0
Machupicchu Hop,https://es.trustpilot.com/review/www.machupicchuhop.com,Opiniones,3,"3,7",2,1,0,0,0
dreamy.tours,https://es.trustpilot.com/review/dreamy.tours,Opiniones,1,"3,7",1,0,0,0,0
Andean Adventures Peru,https://es.trustpilot.com/review/andeanadventuresperu.com,Opiniones,2,"3,8",2,0,0,0,0
happygringotours.com,https://es.trustpilot.com/review/happygringotours.com,Opiniones,2,"3,8",2,0,0,0,0
Planet Odysseys,https://es.trustpilot.com/review/planetodysseys.com,Opiniones,1,"3,7",1,0,0,0,0
Biteperu,https://es.trustpilot.com/review/biteperu.com,Opiniones,2,"3,8",2,0,0,0,0
Andeanpathtravel,https://es.trustpilot.com/review/www.andeanpathtravel.com,Opiniones,1,"3,7",1,0,0,0,0
Peru Wayna Picchu,https://es.trustpilot.com/review/peruwaynapicchu.com,Opiniones,2,"3,8",2,0,0,0,0
Emotiontourperu,https://es.trustpilot.com/review/www.emotiontourperu.com,Opiniones,1,"3,7",1,0,0,0,0
Peruvian Local Friend,https://es.trustpilot.com/review/peruvianlocalfriend.com,Opiniones,1,"3,7",1,0,0,0,0
incatrilogytours.com,https://es.trustpilot.com/review/incatrilogytours.com,Opiniones,1,"3,7",1,0,0,0,0
Wild Watch Peru,https://es.trustpilot.com/review/wildwatchperu.com,Opiniones,2,"3,8",2,0,0,0,0
Machulas Journey,https://es.trustpilot.com/review/machulasjourney.com,Opiniones,1,"3,7",1,0,0,0,0
Peru Breathtaking Trips,https://es.trustpilot.com/review/peru-breathtaking-trips.com,Opiniones,1,"3,7",1,0,0,0,0
Tucano Peru,https://es.trustpilot.com/review/tucanoperu.com,Opiniones,1,"3,7",1,0,0,0,0
Peru Andes Discovery,https://es.trustpilot.com/review/peruandesdiscovery.com,Opiniones,1,"3,7",1,0,0,0,0
Kimsa Travel,https://es.trustpilot.com/review/kimsatravel.com,Opiniones,1,"3,7",1,0,0,0,0
Peru Majestic Travel,https://es.trustpilot.com/review/www.perumajestictravel.com,Opiniones,1,"3,7",1,0,0,0,0
Watana Travel,https://es.trustpilot.com/review/watanatravel.com,Opiniones,1,"3,7",1,0,0,0,0
Amazon Peru Travellers,https://es.trustpilot.com/review/amazonperutravellers.com,Opiniones,1,"3,7",1,0,0,0,0
Erickson Travel Incorporated,https://es.trustpilot.com/review/ericksontravelincorporated.com,Opiniones,1,"3,7",1,0,0,0,0
Know Machu Picchu,https://es.trustpilot.com/review/knowmachupicchu.com,Opiniones,1,"3,7",1,0,0,0,0
Costamar.com,https://es.trustpilot.com/review/costamar.com.pe,Opiniones,1,"3,7",1,0,0,0,0
Viva Peru Tours,https://es.trustpilot.com/review/www.vivaperutours.com,Opiniones,1,"3,7",1,0,0,0,0
Pie Experiences,https://es.trustpilot.com/review/pie-experiences.com,Opiniones,1,"3,7",1,0,0,0,0
Thetravelleragency,https://es.trustpilot.com/review/thetravelleragency.com,Opiniones,1,"3,7",1,0,0,0,0
Treppid Travels,https://es.trustpilot.com/review/treppid.com,Opiniones,1,"3,7",1,0,0,0,0
Amerindia,https://es.trustpilot.com/review/amerindia.pe,Opiniones,1,"3,7",1,0,0,0,0
Machu Picchu Amazon Peru,https://es.trustpilot.com/review/machupicchuamazonperu.com,Opiniones,1,"3,7",1,0,0,0,0
PeruRail,https://es.trustpilot.com/review/perurail.com,Opiniones,30,"1,9",2,1,1,4,22
Tour Perú Con Yelco,https://es.trustpilot.com/review/tourperuconyelco.com,Opiniones,5,"3,6",4,0,0,0,1
Machu Picchu Peru,https://es.trustpilot.com/review/machupicchuperu.com.br,Opiniones,11,"3,1",10,0,0,0,1
Pack4,https://es.trustpilot.com/review/pack4.travel,Opiniones,1,"3,7",1,0,0,0,0
Wariadventures,https://es.trustpilot.com/review/wariadventures.com,Opiniones,1,"3,7",1,0,0,0,0
Todosperte,https://es.trustpilot.com/review/www.todosperte.com,Opiniones,1,"3,7",1,0,0,0,0
Rainbow mountain peru,https://es.trustpilot.com/review/www.rainbowmountainperu.net,Opiniones,8,"3,6",7,0,0,0,1
Bloodybuenoperu,https://es.trustpilot.com/review/bloodybuenoperu.com,Opiniones,1,"3,7",1,0,0,0,0
Inka Express Bus,https://es.trustpilot.com/review/inkaexpressbus.com,Opiniones,8,"3,6",6,1,0,0,1
Haku Travel,https://es.trustpilot.com/review/www.hakutravel.com,Opiniones,8,"3,2",6,0,0,0,2
Journeyou,https://es.trustpilot.com/review/journeyou.com,Opiniones,71,"1,6",55,10,1,1,4
